"county_id","fact_key","age_group_id","charge","county_name","edition_year","participant_name","viewer_category_id","viewer_id","vote","vote_date","votemode"
1,5247,,,,2014,,,,,,
1,52476,2,0.50,Cork,2013,Malik Lopez,2,51,3,"2013-01-06",TV
1,52477,2,0.20,Cork,2014,Chelsey Foster,2,51,1,"2014-01-05",Instagram
1,52478,2,0.50,Cork,2015,Brittany Jacobs,2,51,2,"2015-01-04",TV
1,52479,2,1.00,Cork,2016,Michelle Lawson,1,51,4,"2016-01-03",Phone
1,52480,2,0.50,Cork,2017,Danielle Gray,2,51,4,"2017-01-01",Instagram
1,52481,2,1.00,Cork,2018,Janice Phillips,2,51,1,"2018-01-07",TV
1,52482,2,0.50,Cork,2019,Damon Allen,2,51,1,"2019-01-06",Instagram
1,52483,2,1.00,Cork,2020,Willie Rodriguez,1,51,1,"2020-01-05",TV
1,52484,2,0.50,Cork,2021,Joshua Sanchez,2,51,5,"2021-01-03",Facebook
1,52485,2,1.00,Cork,2022,Kristen Payne,1,51,2,"2022-01-02",TV
1,52674,1,0.50,Cork,2013,Riley Baker,1,72,5,"2013-01-06",Phone
1,52675,1,0.50,Cork,2014,Bryan Hamilton,2,72,5,"2014-01-05",TV
1,52676,1,0.20,Cork,2015,Michael Orozco,1,72,4,"2015-01-04",Facebook
1,52677,1,1.00,Cork,2016,Elizabeth Mcdonald,1,72,1,"2016-01-03",Phone
1,52678,1,1.00,Cork,2017,Julian Powers,2,72,5,"2017-01-01",TV
1,52679,1,0.50,Cork,2018,Debra Arellano,2,72,1,"2018-01-07",Instagram
1,52680,1,1.00,Cork,2019,Debbie Hartman,1,72,5,"2019-01-06",TV
1,52681,1,1.00,Cork,2020,The William Medina Group,2,72,4,"2020-01-05",TV
1,52682,1,0.50,Cork,2021,Sheri Welch,1,72,3,"2021-01-03",Facebook
1,52683,1,1.00,Cork,2022,Kristen Payne,2,72,1,"2022-01-02",Phone
1,53786,2,0.20,Cork,2013,Kimberly Wood,2,189,3,"2013-01-06",Instagram
1,53787,2,0.50,Cork,2015,Jason Anderson,1,189,2,"2015-01-04",TV
1,53788,2,0.50,Cork,2016,The Ashley Cook Band,2,189,2,"2016-01-03",Instagram
1,53789,2,0.50,Cork,2017,The Jeremy Morris Band,1,189,3,"2017-01-01",Instagram
1,53790,2,0.50,Cork,2018,Janice Phillips,2,189,4,"2018-01-07",Instagram
1,53791,2,1.00,Cork,2019,Johnathan Gray,2,189,3,"2019-01-06",TV
1,53792,2,0.50,Cork,2020,The Patricia Spencer Group,1,189,3,"2020-01-05",Instagram
1,53793,2,1.00,Cork,2022,Christopher Jordan,1,189,5,"2022-01-02",TV
1,54266,1,0.20,Cork,2014,The Joshua Davis Combo,1,240,4,"2014-01-05",Facebook
1,54267,1,0.50,Cork,2015,Jason Anderson,1,240,4,"2015-01-04",Phone
1,54268,1,1.00,Cork,2016,Michelle Lawson,2,240,3,"2016-01-03",Phone
1,54269,1,0.50,Cork,2017,The Jeremy Morris Band,1,240,4,"2017-01-01",Instagram
1,54270,1,0.50,Cork,2018,Janice Phillips,1,240,2,"2018-01-07",Facebook
1,54271,1,0.50,Cork,2019,Damon Allen,2,240,3,"2019-01-06",Facebook
1,54272,1,1.00,Cork,2020,Jeffrey Scott,2,240,2,"2020-01-05",TV
1,54273,1,0.50,Cork,2021,Sheri Welch,1,240,3,"2021-01-03",Facebook
1,54274,1,0.50,Cork,2022,Brandon Baker,1,240,1,"2022-01-02",Instagram
1,54295,2,0.50,Cork,2013,Tamara Long,2,243,3,"2013-01-06",TV
1,54296,2,0.20,Cork,2014,Rodney Sanchez,1,243,5,"2014-01-05",Instagram
1,54297,2,0.20,Cork,2015,Michael Orozco,2,243,1,"2015-01-04",Facebook
1,54298,2,1.00,Cork,2016,Elizabeth Mcdonald,1,243,3,"2016-01-03",TV
1,54299,2,1.00,Cork,2017,Danielle Gray,2,243,2,"2017-01-01",Phone
1,54300,2,0.50,Cork,2018,The Nathan Garrett Experience,1,243,5,"2018-01-07",Instagram
1,54301,2,1.00,Cork,2019,Johnathan Gray,1,243,4,"2019-01-06",TV
1,54302,2,1.00,Cork,2020,The Patricia Spencer Group,1,243,1,"2020-01-05",Phone
1,54303,2,0.50,Cork,2021,Sheri Welch,1,243,5,"2021-01-03",Facebook
1,54304,2,1.00,Cork,2022,Brandon Baker,2,243,1,"2022-01-02",Phone
1,54469,4,0.20,Cork,2013,Riley Baker,2,261,2,"2013-01-06",Facebook
1,54470,4,0.20,Cork,2014,The Joshua Davis Combo,1,261,2,"2014-01-05",Instagram
1,54471,4,0.50,Cork,2015,Michael Orozco,2,261,1,"2015-01-04",Phone
1,54472,4,0.50,Cork,2016,Elizabeth Mcdonald,2,261,3,"2016-01-03",Instagram
1,54473,4,1.00,Cork,2017,Danielle Gray,2,261,1,"2017-01-01",TV
1,54474,4,0.50,Cork,2018,John Thompson,1,261,1,"2018-01-07",Instagram
1,54475,4,1.00,Cork,2020,The Patricia Spencer Group,2,261,4,"2020-01-05",Phone
1,54476,4,1.00,Cork,2021,Sheri Welch,2,261,1,"2021-01-03",TV
1,54477,4,1.00,Cork,2022,Kristen Payne,1,261,2,"2022-01-02",Phone
1,54720,4,0.50,Cork,2014,Bryan Hamilton,2,288,3,"2014-01-05",Phone
1,54721,4,0.20,Cork,2015,Scott Snyder,1,288,4,"2015-01-04",Facebook
1,54722,4,0.50,Cork,2016,Elizabeth Mcdonald,2,288,2,"2016-01-03",Facebook
1,54723,4,0.50,Cork,2017,Beverly Perez,2,288,1,"2017-01-01",Facebook
1,54724,4,1.00,Cork,2018,Janice Phillips,1,288,1,"2018-01-07",Phone
1,54725,4,0.50,Cork,2019,Debbie Hartman,2,288,5,"2019-01-06",Facebook
1,54726,4,0.50,Cork,2020,The William Medina Group,2,288,3,"2020-01-05",Instagram
1,54727,4,1.00,Cork,2021,Joshua Sanchez,2,288,2,"2021-01-03",Phone
1,54728,4,1.00,Cork,2022,Katherine Duncan,1,288,1,"2022-01-02",Phone
1,54748,2,0.20,Cork,2013,Malik Lopez,1,291,1,"2013-01-06",Facebook
1,54749,2,0.20,Cork,2014,The Joshua Davis Combo,2,291,5,"2014-01-05",Instagram
1,54750,2,0.50,Cork,2015,Michael Orozco,2,291,2,"2015-01-04",Phone
1,54751,2,1.00,Cork,2016,Michael Rodgers,1,291,4,"2016-01-03",TV
1,54752,2,1.00,Cork,2017,Sarah Molina,2,291,4,"2017-01-01",Phone
1,54753,2,1.00,Cork,2018,Janice Phillips,2,291,3,"2018-01-07",TV
1,54754,2,0.50,Cork,2019,Johnathan Gray,2,291,2,"2019-01-06",Instagram
1,54755,2,0.50,Cork,2020,The William Medina Group,1,291,4,"2020-01-05",Instagram
1,54756,2,1.00,Cork,2022,Kristen Payne,2,291,4,"2022-01-02",Phone
1,54757,2,0.50,Cork,2013,Riley Baker,1,292,3,"2013-01-06",TV
1,54758,2,0.20,Cork,2014,Bryan Hamilton,2,292,4,"2014-01-05",Facebook
1,54759,2,0.20,Cork,2015,Michael Orozco,2,292,5,"2015-01-04",Instagram
1,54760,2,1.00,Cork,2016,Michael Rodgers,1,292,1,"2016-01-03",TV
1,54761,2,1.00,Cork,2017,Danielle Gray,1,292,4,"2017-01-01",TV
1,54762,2,0.50,Cork,2018,Emily White,1,292,1,"2018-01-07",Facebook
1,54763,2,1.00,Cork,2019,Debbie Hartman,1,292,1,"2019-01-06",TV
1,54764,2,0.50,Cork,2020,The William Medina Group,2,292,5,"2020-01-05",Instagram
1,54765,2,1.00,Cork,2021,Sheri Welch,2,292,2,"2021-01-03",Phone
1,54766,2,1.00,Cork,2022,Katherine Duncan,1,292,1,"2022-01-02",TV
1,56753,3,0.20,Cork,2013,Malik Lopez,2,501,2,"2013-01-06",Instagram
1,56754,3,0.20,Cork,2014,Bryan Hamilton,2,501,1,"2014-01-05",Instagram
1,56755,3,0.50,Cork,2015,The Michael Young Band,2,501,5,"2015-01-04",TV
1,56756,3,1.00,Cork,2016,Michael Rodgers,2,501,4,"2016-01-03",TV
1,56757,3,1.00,Cork,2017,Danielle Gray,1,501,2,"2017-01-01",TV
1,56758,3,0.50,Cork,2018,The Nathan Garrett Experience,2,501,1,"2018-01-07",Facebook
1,56759,3,0.50,Cork,2019,Benjamin Spears,2,501,2,"2019-01-06",Instagram
1,56760,3,0.50,Cork,2020,Christian Sutton,2,501,4,"2020-01-05",Instagram
1,56761,3,1.00,Cork,2021,Sheri Welch,1,501,5,"2021-01-03",Phone
1,56999,4,0.50,Cork,2013,Malik Lopez,1,527,3,"2013-01-06",Phone
1,57000,4,0.20,Cork,2014,Rodney Sanchez,1,527,4,"2014-01-05",Facebook
1,57001,4,0.50,Cork,2015,Leslie Bowman,2,527,1,"2015-01-04",TV
1,57002,4,0.50,Cork,2016,Michelle Lawson,2,527,4,"2016-01-03",Facebook
1,57003,4,0.50,Cork,2017,Beverly Perez,2,527,3,"2017-01-01",Facebook
1,57004,4,0.50,Cork,2018,Janice Phillips,2,527,1,"2018-01-07",Facebook
1,57005,4,0.50,Cork,2019,Johnathan Gray,2,527,3,"2019-01-06",Facebook
1,57006,4,1.00,Cork,2020,Jeffrey Scott,2,527,1,"2020-01-05",TV
1,57007,4,1.00,Cork,2021,Kathryn Randolph,2,527,3,"2021-01-03",Phone
1,57008,4,0.50,Cork,2022,Kristen Payne,2,527,1,"2022-01-02",Facebook
1,57157,2,0.50,Cork,2013,Kimberly Wood,1,544,1,"2013-01-06",TV
1,57158,2,0.50,Cork,2014,Bryan Hamilton,1,544,1,"2014-01-05",TV
1,57159,2,0.50,Cork,2015,Scott Snyder,2,544,1,"2015-01-04",TV
1,57160,2,1.00,Cork,2016,Michelle Lawson,1,544,4,"2016-01-03",Phone
1,57161,2,0.50,Cork,2017,Danielle Gray,2,544,3,"2017-01-01",Instagram
1,57162,2,0.50,Cork,2018,Janice Phillips,1,544,4,"2018-01-07",Facebook
1,57163,2,1.00,Cork,2019,Damon Allen,2,544,5,"2019-01-06",TV
1,57164,2,0.50,Cork,2020,The William Medina Group,1,544,5,"2020-01-05",Instagram
1,57165,2,0.50,Cork,2021,Bradley Silva,2,544,4,"2021-01-03",Facebook
1,57166,2,0.50,Cork,2022,Kristen Payne,1,544,5,"2022-01-02",Instagram
1,57259,3,0.20,Cork,2013,Riley Baker,1,555,1,"2013-01-06",Facebook
1,57260,3,0.50,Cork,2014,Rodney Sanchez,2,555,5,"2014-01-05",Phone
1,57261,3,0.20,Cork,2015,Jason Anderson,2,555,5,"2015-01-04",Facebook
1,57262,3,1.00,Cork,2016,Elizabeth Mcdonald,2,555,2,"2016-01-03",TV
1,57263,3,0.50,Cork,2017,Karen Sanchez,2,555,4,"2017-01-01",Facebook
1,57264,3,0.50,Cork,2018,John Thompson,1,555,1,"2018-01-07",Instagram
1,57265,3,0.50,Cork,2019,Debbie Hartman,1,555,1,"2019-01-06",Facebook
1,57266,3,1.00,Cork,2021,Daniel Torres,2,555,4,"2021-01-03",TV
1,57267,3,0.50,Cork,2022,Kristen Payne,2,555,4,"2022-01-02",Facebook
1,57509,3,0.20,Cork,2013,Christopher Sharp,2,582,5,"2013-01-06",Instagram
1,57510,3,0.20,Cork,2014,Bryan Hamilton,1,582,1,"2014-01-05",Facebook
1,57511,3,0.50,Cork,2015,Scott Snyder,2,582,5,"2015-01-04",TV
1,57512,3,1.00,Cork,2016,Elizabeth Mcdonald,2,582,3,"2016-01-03",TV
1,57513,3,0.50,Cork,2017,Danielle Gray,1,582,2,"2017-01-01",Facebook
1,57514,3,0.50,Cork,2018,Janice Phillips,2,582,4,"2018-01-07",Facebook
1,57515,3,0.50,Cork,2019,Damon Allen,2,582,2,"2019-01-06",Instagram
1,57516,3,0.50,Cork,2020,The Patricia Spencer Group,2,582,3,"2020-01-05",Instagram
1,57785,4,0.20,Cork,2015,Michael Orozco,2,612,4,"2015-01-04",Instagram
1,57786,4,1.00,Cork,2016,Elizabeth Mcdonald,1,612,5,"2016-01-03",Phone
1,57787,4,1.00,Cork,2017,Linda Conner,2,612,5,"2017-01-01",Phone
1,57788,4,1.00,Cork,2018,Janice Phillips,2,612,5,"2018-01-07",Phone
1,57789,4,0.50,Cork,2019,The Bradley Jones Experience,1,612,4,"2019-01-06",Instagram
1,57790,4,1.00,Cork,2020,Jeffrey Scott,2,612,2,"2020-01-05",Phone
1,57791,4,0.50,Cork,2021,The Nathan Roberts Band,2,612,3,"2021-01-03",Instagram
1,57792,4,0.50,Cork,2022,Katherine Duncan,1,612,5,"2022-01-02",Instagram
1,58134,4,0.20,Cork,2013,The John Howell Experience,2,649,2,"2013-01-06",Facebook
1,58135,4,0.50,Cork,2014,Ashley Green,1,649,3,"2014-01-05",TV
1,58136,4,0.50,Cork,2015,Michael Orozco,1,649,4,"2015-01-04",TV
1,58137,4,0.50,Cork,2016,Michelle Lawson,2,649,5,"2016-01-03",Instagram
1,58138,4,1.00,Cork,2017,Karen Sanchez,2,649,5,"2017-01-01",Phone
1,58139,4,1.00,Cork,2018,Debra Arellano,2,649,3,"2018-01-07",TV
1,58140,4,1.00,Cork,2019,Damon Allen,2,649,4,"2019-01-06",Phone
1,58141,4,0.50,Cork,2020,The William Medina Group,2,649,2,"2020-01-05",Facebook
1,58142,4,0.50,Cork,2021,Joshua Sanchez,1,649,5,"2021-01-03",Instagram
1,58143,4,0.50,Cork,2022,The Sandra Combs Experience,2,649,3,"2022-01-02",Facebook
1,58309,4,0.20,Cork,2013,Tamara Long,1,667,4,"2013-01-06",Facebook
1,58310,4,0.20,Cork,2014,Bryan Hamilton,1,667,5,"2014-01-05",Instagram
1,58311,4,0.50,Cork,2015,Michael Orozco,1,667,3,"2015-01-04",Phone
1,58312,4,0.50,Cork,2016,Elizabeth Mcdonald,1,667,2,"2016-01-03",Instagram
1,58313,4,0.50,Cork,2017,Julian Powers,2,667,4,"2017-01-01",Facebook
1,58314,4,0.50,Cork,2018,Janice Phillips,1,667,3,"2018-01-07",Instagram
1,58315,4,1.00,Cork,2019,Damon Allen,1,667,2,"2019-01-06",TV
1,58316,4,0.50,Cork,2020,The Patricia Spencer Group,1,667,1,"2020-01-05",Facebook
1,58317,4,0.50,Cork,2021,Daniel Torres,2,667,5,"2021-01-03",Facebook
1,58318,4,1.00,Cork,2022,Kristen Payne,1,667,2,"2022-01-02",TV
1,58490,2,0.50,Cork,2013,Zachary Cooper,1,686,3,"2013-01-06",TV
1,58491,2,0.50,Cork,2014,The Joshua Davis Combo,1,686,1,"2014-01-05",TV
1,58492,2,0.20,Cork,2015,Michael Orozco,1,686,5,"2015-01-04",Facebook
1,58493,2,0.50,Cork,2016,Michelle Lawson,1,686,1,"2016-01-03",Facebook
1,58494,2,0.50,Cork,2017,Danielle Gray,1,686,5,"2017-01-01",Facebook
1,58495,2,0.50,Cork,2018,Debra Arellano,2,686,3,"2018-01-07",Facebook
1,58496,2,1.00,Cork,2019,Damon Allen,2,686,4,"2019-01-06",Phone
1,58497,2,0.50,Cork,2020,Joshua Robertson,1,686,1,"2020-01-05",Instagram
1,58498,2,0.50,Cork,2021,Joshua Sanchez,1,686,1,"2021-01-03",Instagram
1,58538,1,0.20,Cork,2013,Malik Lopez,1,691,1,"2013-01-06",Instagram
1,58539,1,0.50,Cork,2014,Samuel Johnson,1,691,3,"2014-01-05",TV
1,58540,1,0.20,Cork,2015,Michael Orozco,1,691,1,"2015-01-04",Instagram
1,58541,1,0.50,Cork,2016,Elizabeth Mcdonald,2,691,4,"2016-01-03",Instagram
1,58542,1,1.00,Cork,2017,Danielle Gray,2,691,3,"2017-01-01",Phone
1,58543,1,1.00,Cork,2018,Debra Arellano,2,691,1,"2018-01-07",TV
1,58544,1,1.00,Cork,2019,Michael Webster,1,691,1,"2019-01-06",TV
1,58545,1,0.50,Cork,2020,The William Medina Group,1,691,5,"2020-01-05",Facebook
1,58546,1,0.50,Cork,2021,Sheri Welch,2,691,3,"2021-01-03",Facebook
1,58547,1,0.50,Cork,2022,Leah Wilson,1,691,5,"2022-01-02",Facebook
1,58968,1,0.50,Cork,2013,Riley Baker,1,736,2,"2013-01-06",TV
